兵种或者boss的sid	待机动画	待机帧动画的帧数	待机帧动画的播放速度(ms)	前进动画	前进帧动画的帧数	前进帧动画的播放速度(ms)	攻击动画	攻击帧动画的帧数	攻击帧动画的播放速度(ms)	死亡动画	死亡动画的帧数	死亡动画的播放速度(ms)	欢呼动画	欢呼动画的帧数	欢呼动画的播放速度(ms)	最多站多少行	每行站多少个	与前面队伍的间距	队伍中人的左右间距	队伍中人的前后间距																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
sid	stand	standFn	standFt	advance	advanceFn	advanceFt	attack	attackFn	attackFt	die	dieFn	dieFt	cheer	cheerFn	cheerFt	maxLineNum	numPerLine	armySpace	spaceX	spaceY																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										INT
101	-1	0	0	jt_attack	5	100	jt_attack	5	100	jt_die	4	100	-1	0	0	1	3	120	100	100																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
1001	b_stand	5	100	b_run	11	100	b_attack	9	100	b_die	8	100	b_cheer	10	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
1002	b_stand	5	100	b_run	11	100	b_attack	9	100	b_die	8	100	b_cheer	10	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
1003	b_stand	5	100	b_run	11	100	b_attack	9	100	b_die	8	100	b_cheer	10	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
1004	b_stand	5	100	b_run	11	100	b_attack	9	100	b_die	8	100	b_cheer	10	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
2001	g_stand	6	100	g_run	8	100	g_attack	10	100	g_die	9	100	g_cheer	10	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
2002	g_stand	6	100	g_run	8	100	g_attack	10	100	g_die	9	100	g_cheer	10	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
2003	g_stand	6	100	g_run	8	100	g_attack	10	100	g_die	9	100	g_cheer	10	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
2004	g_stand	6	100	g_run	8	100	g_attack	10	100	g_die	9	100	g_cheer	10	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
3001	q_stand	5	100	q_run	6	100	q_attack	11	100	q_die	6	100	q_cheer	5	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
3002	q_stand	5	100	q_run	6	100	q_attack	11	100	q_die	6	100	q_cheer	5	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
3003	q_stand	5	100	q_run	6	100	q_attack	11	100	q_die	6	100	q_cheer	5	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
3004	q_stand	5	100	q_run	6	100	q_attack	11	100	q_die	6	100	q_cheer	5	100	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
4001	-1	0	0	nu_run	6	100	nu_attack	6	100	nu_die	6	100	-1	0	0	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
4002	-1	0	0	nu_run	6	100	nu_attack	6	100	nu_die	6	100	-1	0	0	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
4003	-1	0	0	nu_run	6	100	nu_attack	6	100	nu_die	6	100	-1	0	0	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
4004	-1	0	0	nu_run	6	100	nu_attack	6	100	nu_die	6	100	-1	0	0	3	4	120	80	60																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
