建筑id	建筑当前等级	图片	需求前序建筑	前序建筑等级	升级时间sec	升级消耗资源012345	升级消耗道具1234	道具数量1234	升级增加英雄经验	本等级对应战力
buildSid	level		mustBuildSid	mustBuildLv	cd	costs	costSids	costNums	addExp	point
buildSid	level	img	mustBuildSid	mustBuildLv	cd	costs	costSids	costNums	addExp	point
INT	INT	string	INTS	INTS	INT	ints	ints	ints	INT	INT
1001	0	fudi.png	-1	-1	0	-1	-1	-1	0	70
1001	1	fudi.png	1018	1	280	0|0|900|1800|1800|720	-1	-1	2500	170
1001	2	fudi.png	1018	2	1200	0|0|1620|3240|3240|1296	-1	-1	5000	340
1001	3	fudi.png	1018	3	2400	0|0|2916|5832|5832|2333	-1	-1	10000	590
1001	4	fudi.png	1018	4	4800	0|0|5249|10498|10498|4200	-1	-1	10000	965
1001	5	fudi.png	1018|1006	5|5	9600	0|0|10498|20996|20996|8400	-1	-1	10000	1515
1001	6	fudi.png	1018|1014	6|6	19200	0|0|20996|41992|41992|16800	-1	-1	10000	2340
1001	7	fudi.png	1018|1007	7|7	38400	0|0|41992|83984|83984|33600	-1	-1	10000	3590
1001	8	fudi.png	1015	7	76800	0|0|83984|167968|167968|67200	-1	-1	10000	5490
1001	9	fudi.png	1018|1009	9|9	153600	0|0|125976|251952|251952|100800	-1	-1	10000	8290
1001	10	fudi.png	1018|1020	10|10	184320	0|0|188964|377928|377928|151200	-1	-1	10000	12590
1001	11	fudi.png	1018|1019	11|11	221184	0|0|283446|566892|566892|226800	-1	-1	10000	18990
1001	12	fudi.png	1018|1014	12|12	265422	0|0|425169|850338|850338|340200	-1	-1	10000	28690
1001	13	fudi.png	1018	13	318600	0|0|637754|1275570|1275570|510300	-1	-1	15000	43240
1001	14	fudi.png	1018|1014	14|14	382208	0|0|956630|1913261|1913261|765450	-1	-1	20000	65090
1001	15	fudi.png	1018|1007	15|15	458650	0|0|1434945|2869891|2869891|1148175	-1	-1	20000	97890
